#,In which role are you responding to this survey?,Other,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,"We are not involved yet, but would like to learn more.",We are not involved as a library but I am personally.,Other,Teaching and Learning,Collections management and acquisitions,"Scholarly communication, publishing services, open access",Digital library management,Information and data analytics,Research data management,"Research and development, digital projects","Metadata and data conversion, cataloging",Reference and user services,"Library IT, digital library services",Other,Library Carpentry,Data Carpentry,Software Carpentry,"No, but I plan to do so",No,Other,When did you last attend a Carpentries Workshop?,Git,Introduction to Data for Archivists,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,SQL,Unix Shell,Web Scraping,I do not remember,Other,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,Other,How often do you now apply the skills and techniques which you have gained?,"In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Reorganising and Cleaning Spreadsheets","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Using Version Control","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Transforming Workflows into Scripts","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Scraping or Mining Web Content","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Improving Data Management and Project Organisation","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Using Programming Languages (R, Python)","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Reusing code","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Creating processable reports (e.g., R Markdown, Jupyter notebook)",What other behaviours/routines have you adopted as a result of completing a Carpentries workshop?,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,Other,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),Participated in a semester-long course,Other,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,Other,What other topics should the Library Carpentry curriculum include?,Do you have any other suggestions on how Library Carpentry could support you in your work?,We would like to quote you. Please share a short statement on how you personally benefitted from your workshop participation or further engagement with The Carpentries.,How would you classify your institution/organisation?,Other,What is the size of your overall institution in terms of staff (academic and administrative)?,Other,What is the size of your overall institution in terms of full-time equivalent (FTE) enrolled students?,What is the size of the library in terms of FTE staff?,Is there anything else you would like to share?,Start Date (UTC),Submit Date (UTC),Network ID
fqwjib3qudj6joqnlfqwe6dcul0qa77x,As an individual,,,,,,,,,,,,,,,,,,"Library IT, digital library services",,Library Carpentry,,,,,,0-6 months ago,Git,,OpenRefine,Python,,,Spreadsheets/tidy data,SQL,Unix Shell,Web Scraping,,,,My own work area(s),,,Monthly,3,0,1,0,4,3,2,1,,Stronger confidence in learning new technical skills,,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,,Used non-Carpentry self-guided material,,,,,,,,,,,,,,University,,,,at least 10000 but fewer than 20000,at least 100 but fewer than 250,,2021-07-09 07:23:04,2021-07-09 07:27:41,994e2466ef
0696vh9zat0q83iy0696v35g0bn17x4o,,,,,,,,We are not involved as a library but I am personally.,,,Collections management and acquisitions,,,,,"Research and development, digital projects","Metadata and data conversion, cataloging",,,,Library Carpentry,,,,,,0-6 months ago,Git,,,Python,,,Spreadsheets/tidy data,SQL,,Web Scraping,,,,My own work area(s),,,,3,1,2,1,3,4,4,3,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,,,,,,I recommended the workshops to other colleagues and friends,,,,,,,,,,,,,at least 50 but fewer than 100,,2021-07-09 06:16:35,2021-07-09 06:22:36,61fcad0951
ahqnne9uexxhb9yrkwahqnner2qv3xn2,As an individual,,,We contribute as instructors/helpers to workshops.,,,,We are not involved as a library but I am personally.,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,Research data management,,,,,,,Data Carpentry,Software Carpentry,,,,More than 1 year ago,,,OpenRefine,,R,,Spreadsheets/tidy data,SQL,,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Daily,6,6,6,3,6,6,6,6,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,,Participated in a semester-long course,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,,I contributed to Carpentries workshops as a helper,,,,,University,,at least 2000 but fewer than 5000,,at least 5000 but fewer than 10000,at least 10 but fewer than 50,,2021-07-08 20:13:06,2021-07-08 20:15:58,24f6309ed9
d2zvfhmfd3hxsejrd2zv18knekra0osz,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,,,,,,,,,,,,,,,,,,Software Carpentry,,,,7-12 months ago,,,OpenRefine,,,,,,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,6,6,0,3,6,2,2,4,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,,,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,,,,University,,at least 10000,,at least 20000,at least 50 but fewer than 100,,2021-07-08 19:35:09,2021-07-08 19:37:37,fe8fc7fbf2
a70d4fbxzrkcywui5oaija70d4o04lsw,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,,,,,,,,,Information and data analytics,,,"Metadata and data conversion, cataloging",,"Library IT, digital library services",,,,,,,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,,,,I contributed to Carpentries workshops as a helper,,,,,University,,at least 10000,,at least 20000,at least 250 but fewer than 500,,2021-07-08 19:29:38,2021-07-08 19:31:58,75f81ad8c6
im3f2irjnrwwyosim3pkqp81bzcva9e7,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,,,,,Teaching and Learning,,,,,Research data management,,,,,,,Data Carpentry,Software Carpentry,,,,More than 1 year ago,Git,,OpenRefine,Python,R,,Spreadsheets/tidy data,,Unix Shell,,,,,,,,Less than once a year,3,0,0,0,6,0,0,0,,Stronger confidence in learning new technical skills,,,,,,,,,,,,,,,,I have organised workshops or sessions,,,RMarkdown,,As the coordinator of software/data carpentry workshops at my institutions I have learned how to run an inclusive training and create training focusing on the practical side of learning,University,,at least 5000 but fewer than 10000,,at least 20000,at least 100 but fewer than 250,,2021-07-08 17:32:42,2021-07-08 17:47:12,425e290ee9
6zlfyfvwulh1wwp7te6zxk1r0b92q1zb,As an individual,,,,,,,We are not involved as a library but I am personally.,,,,,,Information and data analytics,,,,,"Library IT, digital library services",,Library Carpentry,,,,,,0-6 months ago,Git,,,Python,,Regular Expressions,,SQL,Unix Shell,Web Scraping,,,,My own work area(s),,,Monthly,3,3,3,2,4,3,4,4,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,,,,,,,,I recommended the workshops to other colleagues and friends,,,,,,,,University,,at least 200 but fewer than 500,,less than 1000,at least 100 but fewer than 250,,2021-07-08 16:38:41,2021-07-08 16:44:06,64cfdccdbb
nsohy0svwdvd4kk6fnsohyfuxryzemjo,,,,We contribute as instructors/helpers to workshops.,,,,We are not involved as a library but I am personally.,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,,,,Reference and user services,,,Library Carpentry,,,,,,7-12 months ago,,,OpenRefine,,,Regular Expressions,Spreadsheets/tidy data,,Unix Shell,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,5,3,2,1,3,2,1,0,The instructor training skills - from delivery to didactics (planning and executing),Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),Participated in a semester-long course,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,,I contributed to Carpentries workshops as a helper,,bibliometrics - cleaning data to make nice visuals..,"a bit more introduction to 'data set (csv files) discovery' - meaning, how to separate by either comma, semicolon, tab - if a comma is within a dedicated Column. It messes up the whole spreadsheet if you accidentally choose to separate using a separator that is 'within a column too.' I know OpenRefine & GREL might work, but in the material I do not know how to interpret myself - need a new case, where the data set is poor and 'dirty' within columns, so I can learn to fix this. It seems we get a quite a few data sets from providers, that is looking like this, and it would be nice to be able to clean these data in order to re-use them in other settings","The lessons and community around (Library) Carpentries helped me to get started, for real, to look deeper into Data Science Skills that can benefit the patrons we support. Being an outreach librarian, teaching and presenting, I love to learn new skills in order to better myself and to become self-confident enough in order to approach both students, teachers, researchers, and administrative staff with the knowledge and skills librarians bring to the table. We have to keep learning as support units, otherwise, we might end up being 'bypassed and forgotten'.
The way the Carpentries introduce new (data) skills are both well planned, with a didactic approach, and presented in a pedagogical manner. It is great for self-studies as well as for groups. I hope all university libraries around the world would consider becoming a member since the skills presented in The Carpentries are super relevant for how scholarly communications and research are evolving. Data, Data management, Information management, knowledge management are skills in demand in a university setting, and we as librarians need to know how to adapt these skills and figure out how we best can support when our patrons are asking us. The way to learn from the Carpentry lesson material is easy, and the 'real workflow' when conducting research (processes/methods) is outlined in the lessons from the Carpentries",University,,at least 2000 but fewer than 5000,,at least 10000 but fewer than 20000,at least 10 but fewer than 50,I am a Carpentry FAN GIRL,2021-07-08 08:25:00,2021-07-08 08:53:06,894bdbe90d
b3lwzondo93ortbb3la1v2jt03wf8i0b,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,Teaching and Learning,Collections management and acquisitions,"Scholarly communication, publishing services, open access",,,,,,,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,at least 500 but fewer than 2000,,at least 1000 but fewer than 5000,at least 10 but fewer than 50,,2021-07-07 12:53:44,2021-07-07 12:58:47,709f597dd0
ka7kcthqti0pysczmz8ajka7gek30p1c,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,,,,,Teaching and Learning,,,,,,,,,,,Library Carpentry,Data Carpentry,,,,,More than 1 year ago,Git,,,Python,,,,,Unix Shell,Web Scraping,,,,My own work area(s),,,Several times per year,6,6,0,3,3,2,0,1,,,Encouraging skills development of staff,,,,,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,,I have promoted membership to the head of my institution,,,,webscraping in R,,,Library Association,,,,,at least 100 but fewer than 250,,2021-07-06 15:59:52,2021-07-06 16:05:10,843088549e
xwpelgx8xzkec2m336xwpelh0hr65c41,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,,,,,Teaching and Learning,,,,,Research data management,,,Reference and user services,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,,OpenRefine,Python,R,Regular Expressions,,,,,I do not remember,,,My own work area(s),I have suggested tools to others and explained how they work,,Monthly,6,3,3,4,6,4,4,2,"My first Carpentries workshop was pivotal in teaching me to code in Python, how to use Git and GitHub, and how to navigate the terminal. All of these tools have since become regular parts of my work as has teaching them to others.",Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,Python and SQL/databases,Continued opportunities for us instructors to give back to the Library Carpentry community. Continued collaboration with other Carpentries groups helps me in my outreach to colleagues in other parts of the university.,"The Carpentries introduced me to skills I need to successfully help researchers with their needs, and Carpentries instructor training gave me teaching skills I use every semester.",University,,at least 10000,,at least 20000,at least 50 but fewer than 100,,2021-07-06 15:29:03,2021-07-06 15:42:00,61956ffc82
44rps25570a46fs1es44rpsw4wuihu3m,As a representative of a member institution,,,,,,"We are not involved yet, but would like to learn more.",,,,,"Scholarly communication, publishing services, open access",Digital library management,,,,,,"Library IT, digital library services",,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"data analysis, text mining",bite sized online modules that build into a skillset,,,,at least 200 but fewer than 500,,at least 1000 but fewer than 5000,at least 10 but fewer than 50,,2021-07-05 00:26:06,2021-07-05 00:31:42,1c817c1a94
raxze8whdsatk4k9zqza1hraxze8wxjg,As an individual,,,,,,,We are not involved as a library but I am personally.,,Teaching and Learning,,,Digital library management,Information and data analytics,,,,,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,My own work area(s),,,Weekly,6,3,0,1,1,3,4,4,,Stronger confidence in learning new technical skills,,,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,,,,,I recommended the workshops to other colleagues and friends,,,,,Cybersecurity,,,,,Fewer than 200,,at least 1000 but fewer than 5000,less than 10,,2021-07-02 13:27:42,2021-07-02 13:30:34,e02eb41dd2
txp70y5hrhvu9c10txp70tz4gl3gxrem,As an individual,,,,,,,We are not involved as a library but I am personally.,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,,,,Reference and user services,,,Library Carpentry,,Software Carpentry,,,,More than 1 year ago,Git,,OpenRefine,,R,Regular Expressions,Spreadsheets/tidy data,,,,,,In a new work area or project,,I have suggested tools to others and explained how they work,,Monthly,6,6,1,1,6,3,3,3,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,,,,,,at least 500 but fewer than 2000,,at least 1000 but fewer than 5000,at least 10 but fewer than 50,,2021-07-01 20:34:33,2021-07-01 20:38:07,32bac2875b
7x3wp4n15aa65a34s72w7x3wptpfv1m9,As an individual,,,We contribute as instructors/helpers to workshops.,,,,,,Teaching and Learning,,,,,Research data management,,,Reference and user services,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,,,,,R,,,,,,,,,,I have suggested tools to others and explained how they work,,Less than once a year,6,4,0,0,6,0,0,1,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,,,,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,"Troubleshooting, more on data literacy - especially on the need to create and follow data use agreements and data licenses",,,University,,at least 10000,,at least 20000,at least 100 but fewer than 250,Aligning learning objectives with hot topics in librarianship like data literacy and systematic reviews would be helpful to get more librarians interested in the Carpentries,2021-07-01 15:23:39,2021-07-01 15:36:07,aaf62efa31
3e03csnehxix098373e03cs760fvayb3,As an individual,,,,,,,We are not involved as a library but I am personally.,,,,,,,,,"Metadata and data conversion, cataloging",Reference and user services,,,Library Carpentry,,,,,,7-12 months ago,Git,,OpenRefine,,,Regular Expressions,,,Unix Shell,,,,,,,,Less than once a year,0,0,0,0,0,0,0,0,none,Stronger confidence in learning new technical skills,,,,,,,Used Carpentry self-guided material,,,,,,,I recommended the workshops to other colleagues and friends,,,,,"MarcEdit, Python, metadata standards",,,Public library,,,,Not applicable,at least 50 but fewer than 100,,2021-07-01 13:54:43,2021-07-01 13:59:14,fe784e71ee
fwmea0umt65i30cgmnfwmea0exp5g40c,As an individual,,,,,,,We are not involved as a library but I am personally.,,,,"Scholarly communication, publishing services, open access",,,Research data management,,,,,,Library Carpentry,,,,,,0-6 months ago,,,OpenRefine,,,,,,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Monthly,4,1,0,0,3,0,0,0,Using Bash and open refine,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,,,,,,,University,,at least 2000 but fewer than 5000,,at least 20000,at least 100 but fewer than 250,,2021-07-01 12:49:01,2021-07-01 12:54:33,c22c03615a
j1015w3sh1xkp8j1015lhzsducj39hub,As an individual,,,,,,,We are not involved as a library but I am personally.,,,Collections management and acquisitions,,,,,,,Reference and user services,"Library IT, digital library services",,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,SQL,Unix Shell,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Daily,6,6,6,3,6,6,6,3,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,,,Carpentries provided a research driven community of practice for individual as well as growth of the community.,University,,at least 2000 but fewer than 5000,,at least 10000 but fewer than 20000,at least 10 but fewer than 50,,2021-07-01 11:56:37,2021-07-01 12:45:37,cff30b7401
ktq041b9tcpxzim5ktqhlbo846n5cas2,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,,,,,,,"Research and development, digital projects","Metadata and data conversion, cataloging",,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archive crossover,,University,,at least 500 but fewer than 2000,,at least 5000 but fewer than 10000,at least 10 but fewer than 50,,2021-07-01 12:42:59,2021-07-01 12:45:35,945ccfcc75
25091qfuikbvhbx9z8hmbj250919jpr3,,,We organise and host Carpentries workshops.,,,,,,,,,,,,,,,,"Library IT, digital library services",,Library Carpentry,,,,,,More than 1 year ago,,,OpenRefine,,,,Spreadsheets/tidy data,,,,,,,,,,Less than once a year,0,0,0,0,0,0,0,0,Using Open refine,,,,,,Rethinking current approaches for data processing and management in my unit/department,,,,,,,,,,,,I contributed to Carpentries workshops as a helper,,,,,,,at least 500 but fewer than 2000,,at least 10000 but fewer than 20000,at least 250 but fewer than 500,,2021-06-28 09:54:11,2021-06-28 09:58:40,52856227c3
sjn2737xowkunbdlbsjnqaarks7v8k7d,As an individual,,,,,,,We are not involved as a library but I am personally.,,,,"Scholarly communication, publishing services, open access",,,,,,,,,Library Carpentry,,,,,,0-6 months ago,Git,,OpenRefine,,,Regular Expressions,,,Unix Shell,,,,,My own work area(s),,,Weekly,5,4,0,0,0,0,3,0,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,,,,Used Carpentry self-guided material,,,Participated in a short course or workshop (up to 4 days),,,,I recommended the workshops to other colleagues and friends,,,,,,,,Public research organisation,,at least 200 but fewer than 500,,Not applicable,at least 250 but fewer than 500,,2021-06-28 08:49:39,2021-06-28 08:56:23,62f0356ec5
qkuv2h25kt4kc2z211nhzzqkuv2h2561,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,,,,Teaching and Learning,,,,Information and data analytics,Research data management,,,,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,,OpenRefine,,,Regular Expressions,,,Unix Shell,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Monthly,5,3,1,1,6,1,2,1,,,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,,I contributed to Carpentries workshops as a helper,,,,,University,,at least 10000,,at least 20000,at least 250 but fewer than 500,,2021-06-28 08:25:04,2021-06-28 08:33:29,b97f3118c3
85d2m6oip8oiqn3g42x85d2m6blkxkpv,As an individual,,,,,,,,Just receive e-mails,,,,,,,,"Metadata and data conversion, cataloging",,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,University,,at least 500 but fewer than 2000,,less than 1000,less than 10,,2021-06-25 19:50:21,2021-06-25 19:54:02,b048677bfe
hzvft8pop6cvtw82u4hzvft8poaeus0p,As an individual,,We organise and host Carpentries workshops.,,,,,,"Want to be more involved (mostly host ""unofficial"" workshops)",,,,,Information and data analytics,Research data management,,,Reference and user services,,,,Data Carpentry,,,,,More than 1 year ago,,,OpenRefine,,R,,Spreadsheets/tidy data,,Unix Shell,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Weekly,6,5,2,3,6,6,5,4,,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,,,Creating interactive dashboards/visualizations,,,,,at least 500 but fewer than 2000,,at least 1000 but fewer than 5000,at least 10 but fewer than 50,,2021-06-25 12:37:07,2021-06-25 12:45:07,6041c71e30
rsakdikv3c3cp50522rarsa4uic5sj0w,As an individual,,,We contribute as instructors/helpers to workshops.,,,,,,,,,Digital library management,Information and data analytics,,,"Metadata and data conversion, cataloging",,,,Library Carpentry,,,,,,More than 1 year ago,Git,,,,,,,,,,,,,My own work area(s),,,Several times per year,0,,,,3,,,,,,,,,,Rethinking current approaches for data processing and management in my unit/department,,,Used non-Carpentry self-guided material,,,,,,I recommended the workshops to other colleagues and friends,,,,,,,difficult theme for me became more understandable,University,,at least 200 but fewer than 500,,,,,2021-06-25 06:50:15,2021-06-25 06:58:08,304fd861b0
pt362h81246w2zxpfpt362wtn6e16150,As an individual,,,,,,,We are not involved as a library but I am personally.,,,,,,,,,,,,I manage researcher support and training,Library Carpentry,Data Carpentry,Software Carpentry,,,,More than 1 year ago,Git,,OpenRefine,,,Regular Expressions,,,Unix Shell,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Daily,6,6,1,2,6,1,6,0,Teaching others the skills I learned,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,,Used non-Carpentry self-guided material,,,,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,Computational thinking,Include case studies and examples of ways people have transformed library work practices and share code for innovations,I learned it is never too late to learn new things and I learned how to be a better teacher.,University,,at least 2000 but fewer than 5000,,at least 20000,at least 250 but fewer than 500,,2021-06-25 00:06:26,2021-06-25 00:14:54,de6c68a33f
ypa0acaq7osf6mxpbnxypa0aca3uqncd,As an individual,,,We contribute as instructors/helpers to workshops.,,,,,,,,"Scholarly communication, publishing services, open access",Digital library management,,,"Research and development, digital projects",,,,,Library Carpentry,,Software Carpentry,,,,0-6 months ago,Git,,,Python,,,,,Unix Shell,,,,,My own work area(s),,,Weekly,3,1,2,0,0,4,3,1,"I've adopted some Carpentries training techniques - eg, red/green stickies, live coding",Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,,,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,,I contributed to Carpentries workshops as a helper,,data analysis and visualization for library analytics,,,University,,at least 5000 but fewer than 10000,,at least 10000 but fewer than 20000,at least 100 but fewer than 250,,2021-06-24 16:04:58,2021-06-24 16:10:58,b689bf5901
3g2a8w7vrjp2yztqc5r3g2a8ww3la60r,As a representative of a member institution,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,,,We are not involved as a library but I am personally.,,Teaching and Learning,Collections management and acquisitions,,,,,,,Reference and user services,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,,OpenRefine,Python,,Regular Expressions,Spreadsheets/tidy data,,Unix Shell,,,,,,I have suggested tools to others and explained how they work,,Monthly,5,2,3,2,5,3,4,3,Better data practices and thinking about reproducability,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,,,Used Carpentry self-guided material,,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,,,,,University,,at least 10000,,at least 20000,at least 500,,2021-06-24 15:36:00,2021-06-24 15:41:01,0729d31390
npprt63bmg2aw1d7npprpx5xgoimd0df,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,,,,,,Research data management,"Research and development, digital projects",,,,,,,,"No, but I plan to do so",,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University,,at least 10000,,at least 10000 but fewer than 20000,at least 100 but fewer than 250,,2021-06-24 15:02:32,2021-06-24 15:05:29,fec77d11d5
