number,respondent_role,we_organise_and_host_carpentries_workshops,we_contribute_as_instructors_helpers_to_workshops,we_manage_an_institutional_carpentries_membership,we_coordinate_a_local_carpentries_community,we_are_not_involved_yet_but_would_like_to_learn_more,we_are_not_involved_as_a_library_but_i_am_personally,other_10,teaching_and_learning,collections_management_and_acquisitions,scholarly_communication_publishing_services_open_access,digital_library_management,information_and_data_analytics,research_data_management,research_and_development_digital_projects,metadata_and_data_conversion_cataloging,reference_and_user_services,library_it_digital_library_services,other_21,library_carpentry,data_carpentry,software_carpentry,no_but_i_plan_to_do_so,no,other_27,last_workshop_attended,git,introduction_to_data_for_archivists,open_refine,python,r,regular_expressions,spreadsheets_tidy_data,sql,unix_shell,web_scraping,i_do_not_remember,other_40,in_a_new_work_area_or_project,my_own_work_area_s,i_have_suggested_tools_to_others_and_explained_how_they_work,other_44,application_frequency,reorganising_and_cleaning_spreadsheets,using_version_control,transforming_workflows_into_scripts,scraping_or_mining_web_content,improving_data_management_and_project_organisation,using_programming_languages_r_python,reusing_code,creating_processable_reports_e_g_r_markdown_jupyter_notebook,what_other_behaviours_routines_have_you_adopted_as_a_result_of_completing_a_carpentries_workshop,stronger_confidence_in_learning_new_technical_skills,encouraging_skills_development_of_staff,decision_making_on_technical_solutions_in_libraries,recruitment_of_technical_and_or_analytical_staff,improved_relationships_with_academic_or_technical_partners,rethinking_current_approaches_for_data_processing_and_management_in_my_unit_department,other_61,used_carpentry_self_guided_material,used_non_carpentry_self_guided_material,contributed_as_an_instructor_helper_to_a_carpentry_workshop,participated_in_a_short_course_or_workshop_up_to_4_days,participated_in_a_semester_long_course,other_67,i_have_joined_the_carpentries_community_as_an_instructor,i_recommended_the_workshops_to_other_colleagues_and_friends,i_have_promoted_membership_to_the_head_of_my_institution,i_have_organised_workshops_or_sessions,i_contributed_to_carpentries_workshops_as_a_helper,other_73,what_other_topics_should_the_library_carpentry_curriculum_include,do_you_have_any_other_suggestions_on_how_library_carpentry_could_support_you_in_your_work,we_would_like_to_quote_you_please_share_a_short_statement_on_how_you_personally_benefitted_from_your_workshop_participation_or_further_engagement_with_the_carpentries,how_would_you_classify_your_institution_organisation,other_78,size_of_your_overall_institution_in_terms_of_staff_academic_and_administrative,other_80,size_of_your_overall_institution_in_terms_of_fte_enrolled_students,size_of_the_library_in_terms_of_fte_staff,is_there_anything_else_you_would_like_to_share,start_date_utc,submit_date_utc,network_id
v540nsb71psn9uywv540n1uv760xx9xl,As a representative of a member institution,We organise and host Carpentries workshops.,NA,NA,NA,NA,NA,NA,NA,Collections management and acquisitions,NA,NA,NA,NA,NA,"Metadata and data conversion, cataloging",NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,NA,Python,NA,NA,NA,SQL,NA,Web Scraping,NA,NA,NA,My own work area(s),NA,NA,Monthly,0,0,3,0,1,3,3,0,NA,Stronger confidence in learning new technical skills,NA,NA,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public library,NA,at least 10000,NA,at least 10000 but fewer than 20000,at least 100 but fewer than 250,NA,2021-07-19T08:10:53Z,2021-07-19,1cec4e9c21
7shu5sxwdtpav3567shu2jg7h5o7w91l,As a representative of a member institution,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,NA,Python,NA,NA,NA,NA,Unix Shell,NA,NA,NA,NA,NA,NA,NA,Several times per year,4,4,5,4,4,5,4,5,NA,Stronger confidence in learning new technical skills,NA,NA,NA,NA,NA,NA,Used Carpentry self-guided material,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,learned something new,University,NA,at least 5000 but fewer than 10000,NA,Not applicable,at least 100 but fewer than 250,NA,2021-07-16T07:56:36Z,2021-07-16,cc2b526ebc
11jyb9w8c8tyemzi911jybe73otxpe9k,As an individual,NA,NA,NA,NA,NA,NA,NA,NA,Collections management and acquisitions,NA,NA,NA,Research data management,NA,NA,Reference and user services,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,NA,Git,NA,NA,Python,NA,NA,Spreadsheets/tidy data,SQL,Unix Shell,Web Scraping,NA,NA,NA,NA,NA,NA,Less than once a year,0,0,0,0,0,0,0,0,NA,Stronger confidence in learning new technical skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,at least 5000 but fewer than 10000,NA,Not applicable,at least 100 but fewer than 250,NA,2021-07-16T06:24:38Z,2021-07-16,ec020ae306
op22tyquimfasiaugp8top22dxbuso6s,As an individual,We organise and host Carpentries workshops.,NA,NA,NA,NA,NA,NA,NA,Collections management and acquisitions,"Scholarly communication, publishing services, open access",NA,NA,NA,NA,"Metadata and data conversion, cataloging",NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,NA,Python,NA,NA,Spreadsheets/tidy data,SQL,Unix Shell,NA,NA,NA,NA,NA,I have suggested tools to others and explained how they work,NA,Several times per year,2,0,0,0,1,1,1,1,Being more aware of all the possibilities of working with data in a library context.,Stronger confidence in learning new technical skills,NA,NA,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,NA,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,More programme specific work (e.g. working with/getting data out of ALMA),NA,"The Library Carpentry workshops have given me an insight into what is possible with the data we deal with here at the library. I wouldn't go as far as to say I'm now proficient in the modules taught (Python, Git, Unix Shell, Wikidata, etc.) but it's taken some of my fear of working with digital content away and has given me the language to communicate with our IT and tech specialists.",NA,NA,at least 200 but fewer than 500,NA,at least 10000 but fewer than 20000,at least 100 but fewer than 250,NA,2021-07-14T10:19:39Z,2021-07-14,c0aab4aaab
63u9u0bfecq17wjyyg8itu63u9u0fav7,As an individual,We organise and host Carpentries workshops.,NA,NA,NA,NA,NA,NA,Teaching and Learning,Collections management and acquisitions,NA,NA,NA,Research data management,NA,NA,NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,NA,Python,NA,NA,Spreadsheets/tidy data,SQL,Unix Shell,NA,NA,NA,NA,My own work area(s),NA,NA,Monthly,2,5,2,0,5,2,2,3,NA,Stronger confidence in learning new technical skills,NA,Decision-making on technical solutions in libraries,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,NA,Used non-Carpentry self-guided material,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,NA,NA,NA,University,NA,at least 5000 but fewer than 10000,NA,at least 10000 but fewer than 20000,at least 100 but fewer than 250,NA,2021-07-12T08:49:52Z,2021-07-12,7216d527e0
fqwjib3qudj6joqnlfqwe6dcul0qa77x,As an individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Library IT, digital library services",NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,OpenRefine,Python,NA,NA,Spreadsheets/tidy data,SQL,Unix Shell,Web Scraping,NA,NA,NA,My own work area(s),NA,NA,Monthly,3,0,1,0,4,3,2,1,NA,Stronger confidence in learning new technical skills,NA,NA,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,NA,Used non-Carpentry self-guided material,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University,NA,NA,NA,at least 10000 but fewer than 20000,at least 100 but fewer than 250,NA,2021-07-09T07:23:04Z,2021-07-09,994e2466ef
0696vh9zat0q83iy0696v35g0bn17x4o,NA,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,Collections management and acquisitions,NA,NA,NA,NA,"Research and development, digital projects","Metadata and data conversion, cataloging",NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,NA,Python,NA,NA,Spreadsheets/tidy data,SQL,NA,Web Scraping,NA,NA,NA,My own work area(s),NA,NA,NA,3,1,2,1,3,4,4,3,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,NA,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,at least 50 but fewer than 100,NA,2021-07-09T06:16:35Z,2021-07-09,61fcad0951
ahqnne9uexxhb9yrkwahqnner2qv3xn2,As an individual,NA,We contribute as instructors/helpers to workshops.,NA,NA,NA,We are not involved as a library but I am personally.,NA,Teaching and Learning,NA,"Scholarly communication, publishing services, open access",NA,NA,Research data management,NA,NA,NA,NA,NA,NA,Data Carpentry,Software Carpentry,NA,NA,NA,More than 1 year ago,NA,NA,OpenRefine,NA,R,NA,Spreadsheets/tidy data,SQL,NA,NA,NA,NA,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,NA,Daily,6,6,6,3,6,6,6,6,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,NA,Participated in a semester-long course,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,NA,I contributed to Carpentries workshops as a helper,NA,NA,NA,NA,University,NA,at least 2000 but fewer than 5000,NA,at least 5000 but fewer than 10000,at least 10 but fewer than 50,NA,2021-07-08T20:13:06Z,2021-07-08,24f6309ed9
d2zvfhmfd3hxsejrd2zv18knekra0osz,As an individual,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Software Carpentry,NA,NA,NA,7-12 months ago,NA,NA,OpenRefine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My own work area(s),I have suggested tools to others and explained how they work,NA,Weekly,6,6,0,3,6,2,2,4,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,NA,NA,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,NA,NA,NA,NA,University,NA,at least 10000,NA,at least 20000,at least 50 but fewer than 100,NA,2021-07-08T19:35:09Z,2021-07-08,fe8fc7fbf2
a70d4fbxzrkcywui5oaija70d4o04lsw,As an individual,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,NA,NA,NA,NA,NA,NA,NA,NA,Information and data analytics,NA,NA,"Metadata and data conversion, cataloging",NA,"Library IT, digital library services",NA,NA,NA,NA,NA,NA,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Contributed as an instructor/helper to a Carpentry workshop,NA,NA,NA,I have joined The Carpentries community as an instructor,NA,NA,NA,I contributed to Carpentries workshops as a helper,NA,NA,NA,NA,University,NA,at least 10000,NA,at least 20000,at least 250 but fewer than 500,NA,2021-07-08T19:29:38Z,2021-07-08,75f81ad8c6
im3f2irjnrwwyosim3pkqp81bzcva9e7,As a representative of a member institution,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,NA,NA,NA,NA,Teaching and Learning,NA,NA,NA,NA,Research data management,NA,NA,NA,NA,NA,NA,Data Carpentry,Software Carpentry,NA,NA,NA,More than 1 year ago,Git,NA,OpenRefine,Python,R,NA,Spreadsheets/tidy data,NA,Unix Shell,NA,NA,NA,NA,NA,NA,NA,Less than once a year,3,0,0,0,6,0,0,0,NA,Stronger confidence in learning new technical skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have organised workshops or sessions,NA,NA,RMarkdown,NA,As the coordinator of software/data carpentry workshops at my institutions I have learned how to run an inclusive training and create training focusing on the practical side of learning,University,NA,at least 5000 but fewer than 10000,NA,at least 20000,at least 100 but fewer than 250,NA,2021-07-08T17:32:42Z,2021-07-08,425e290ee9
6zlfyfvwulh1wwp7te6zxk1r0b92q1zb,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,NA,NA,NA,Information and data analytics,NA,NA,NA,NA,"Library IT, digital library services",NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,Git,NA,NA,Python,NA,Regular Expressions,NA,SQL,Unix Shell,Web Scraping,NA,NA,NA,My own work area(s),NA,NA,Monthly,3,3,3,2,4,3,4,4,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,NA,NA,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,NA,NA,NA,University,NA,at least 200 but fewer than 500,NA,less than 1000,at least 100 but fewer than 250,NA,2021-07-08T16:38:41Z,2021-07-08,64cfdccdbb
nsohy0svwdvd4kk6fnsohyfuxryzemjo,NA,NA,We contribute as instructors/helpers to workshops.,NA,NA,NA,We are not involved as a library but I am personally.,NA,Teaching and Learning,NA,"Scholarly communication, publishing services, open access",NA,NA,NA,NA,NA,Reference and user services,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,7-12 months ago,NA,NA,OpenRefine,NA,NA,Regular Expressions,Spreadsheets/tidy data,NA,Unix Shell,NA,NA,NA,NA,My own work area(s),I have suggested tools to others and explained how they work,NA,Weekly,5,3,2,1,3,2,1,0,The instructor training skills - from delivery to didactics (planning and executing),Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),Participated in a semester-long course,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,NA,I contributed to Carpentries workshops as a helper,NA,bibliometrics - cleaning data to make nice visuals..,"a bit more introduction to 'data set (csv files) discovery' - meaning, how to separate by either comma, semicolon, tab - if a comma is within a dedicated Column. It messes up the whole spreadsheet if you accidentally choose to separate using a separator that is 'within a column too.' I know OpenRefine & GREL might work, but in the material I do not know how to interpret myself - need a new case, where the data set is poor and 'dirty' within columns, so I can learn to fix this. It seems we get a quite a few data sets from providers, that is looking like this, and it would be nice to be able to clean these data in order to re-use them in other settings","The lessons and community around (Library) Carpentries helped me to get started, for real, to look deeper into Data Science Skills that can benefit the patrons we support. Being an outreach librarian, teaching and presenting, I love to learn new skills in order to better myself and to become self-confident enough in order to approach both students, teachers, researchers, and administrative staff with the knowledge and skills librarians bring to the table. We have to keep learning as support units, otherwise, we might end up being 'bypassed and forgotten'.
The way the Carpentries introduce new (data) skills are both well planned, with a didactic approach, and presented in a pedagogical manner. It is great for self-studies as well as for groups. I hope all university libraries around the world would consider becoming a member since the skills presented in The Carpentries are super relevant for how scholarly communications and research are evolving. Data, Data management, Information management, knowledge management are skills in demand in a university setting, and we as librarians need to know how to adapt these skills and figure out how we best can support when our patrons are asking us. The way to learn from the Carpentry lesson material is easy, and the 'real workflow' when conducting research (processes/methods) is outlined in the lessons from the Carpentries",University,NA,at least 2000 but fewer than 5000,NA,at least 10000 but fewer than 20000,at least 10 but fewer than 50,I am a Carpentry FAN GIRL,2021-07-08T08:25:00Z,2021-07-08,894bdbe90d
b3lwzondo93ortbb3la1v2jt03wf8i0b,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,Teaching and Learning,Collections management and acquisitions,"Scholarly communication, publishing services, open access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University,NA,at least 500 but fewer than 2000,NA,at least 1000 but fewer than 5000,at least 10 but fewer than 50,NA,2021-07-07T12:53:44Z,2021-07-07,709f597dd0
ka7kcthqti0pysczmz8ajka7gek30p1c,As an individual,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,NA,NA,NA,NA,Teaching and Learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Library Carpentry,Data Carpentry,NA,NA,NA,NA,More than 1 year ago,Git,NA,NA,Python,NA,NA,NA,NA,Unix Shell,Web Scraping,NA,NA,NA,My own work area(s),NA,NA,Several times per year,6,6,0,3,3,2,0,1,NA,NA,Encouraging skills development of staff,NA,NA,NA,NA,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,NA,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,NA,I have promoted membership to the head of my institution,NA,NA,NA,webscraping in R,NA,NA,Library Association,NA,NA,NA,NA,at least 100 but fewer than 250,NA,2021-07-06T15:59:52Z,2021-07-06,843088549e
xwpelgx8xzkec2m336xwpelh0hr65c41,As an individual,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,NA,NA,NA,NA,Teaching and Learning,NA,NA,NA,NA,Research data management,NA,NA,Reference and user services,NA,NA,Library Carpentry,Data Carpentry,Software Carpentry,NA,NA,NA,0-6 months ago,Git,NA,OpenRefine,Python,R,Regular Expressions,NA,NA,NA,NA,I do not remember,NA,NA,My own work area(s),I have suggested tools to others and explained how they work,NA,Monthly,6,3,3,4,6,4,4,2,"My first Carpentries workshop was pivotal in teaching me to code in Python, how to use Git and GitHub, and how to navigate the terminal. All of these tools have since become regular parts of my work as has teaching them to others.",Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,NA,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,NA,Python and SQL/databases,Continued opportunities for us instructors to give back to the Library Carpentry community. Continued collaboration with other Carpentries groups helps me in my outreach to colleagues in other parts of the university.,"The Carpentries introduced me to skills I need to successfully help researchers with their needs, and Carpentries instructor training gave me teaching skills I use every semester.",University,NA,at least 10000,NA,at least 20000,at least 50 but fewer than 100,NA,2021-07-06T15:29:03Z,2021-07-06,61956ffc82
44rps25570a46fs1es44rpsw4wuihu3m,As a representative of a member institution,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,"Scholarly communication, publishing services, open access",Digital library management,NA,NA,NA,NA,NA,"Library IT, digital library services",NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data analysis, text mining",bite sized online modules that build into a skillset,NA,NA,NA,at least 200 but fewer than 500,NA,at least 1000 but fewer than 5000,at least 10 but fewer than 50,NA,2021-07-05T00:26:06Z,2021-07-05,1c817c1a94
raxze8whdsatk4k9zqza1hraxze8wxjg,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,Teaching and Learning,NA,NA,Digital library management,Information and data analytics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My own work area(s),NA,NA,Weekly,6,3,0,1,1,3,4,4,NA,Stronger confidence in learning new technical skills,NA,NA,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,Cybersecurity,NA,NA,NA,NA,Fewer than 200,NA,at least 1000 but fewer than 5000,less than 10,NA,2021-07-02T13:27:42Z,2021-07-02,e02eb41dd2
txp70y5hrhvu9c10txp70tz4gl3gxrem,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,Teaching and Learning,NA,"Scholarly communication, publishing services, open access",NA,NA,NA,NA,NA,Reference and user services,NA,NA,Library Carpentry,NA,Software Carpentry,NA,NA,NA,More than 1 year ago,Git,NA,OpenRefine,NA,R,Regular Expressions,Spreadsheets/tidy data,NA,NA,NA,NA,NA,In a new work area or project,NA,I have suggested tools to others and explained how they work,NA,Monthly,6,6,1,1,6,3,3,3,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,NA,Contributed as an instructor/helper to a Carpentry workshop,NA,NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,NA,NA,NA,NA,NA,NA,at least 500 but fewer than 2000,NA,at least 1000 but fewer than 5000,at least 10 but fewer than 50,NA,2021-07-01T20:34:33Z,2021-07-01,32bac2875b
7x3wp4n15aa65a34s72w7x3wptpfv1m9,As an individual,NA,We contribute as instructors/helpers to workshops.,NA,NA,NA,NA,NA,Teaching and Learning,NA,NA,NA,NA,Research data management,NA,NA,Reference and user services,NA,NA,Library Carpentry,Data Carpentry,Software Carpentry,NA,NA,NA,0-6 months ago,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have suggested tools to others and explained how they work,NA,Less than once a year,6,4,0,0,6,0,0,1,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,Improved relationships with academic or technical partners,NA,NA,NA,NA,Contributed as an instructor/helper to a Carpentry workshop,NA,NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,NA,"Troubleshooting, more on data literacy - especially on the need to create and follow data use agreements and data licenses",NA,NA,University,NA,at least 10000,NA,at least 20000,at least 100 but fewer than 250,Aligning learning objectives with hot topics in librarianship like data literacy and systematic reviews would be helpful to get more librarians interested in the Carpentries,2021-07-01T15:23:39Z,2021-07-01,aaf62efa31
3e03csnehxix098373e03cs760fvayb3,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,NA,NA,NA,NA,NA,NA,"Metadata and data conversion, cataloging",Reference and user services,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,7-12 months ago,Git,NA,OpenRefine,NA,NA,Regular Expressions,NA,NA,Unix Shell,NA,NA,NA,NA,NA,NA,NA,Less than once a year,0,0,0,0,0,0,0,0,none,Stronger confidence in learning new technical skills,NA,NA,NA,NA,NA,NA,Used Carpentry self-guided material,NA,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,"MarcEdit, Python, metadata standards",NA,NA,Public library,NA,NA,NA,Not applicable,at least 50 but fewer than 100,NA,2021-07-01T13:54:43Z,2021-07-01,fe784e71ee
fwmea0umt65i30cgmnfwmea0exp5g40c,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,NA,"Scholarly communication, publishing services, open access",NA,NA,Research data management,NA,NA,NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,0-6 months ago,NA,NA,OpenRefine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My own work area(s),I have suggested tools to others and explained how they work,NA,Monthly,4,1,0,0,3,0,0,0,Using Bash and open refine,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,NA,NA,NA,NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,NA,NA,NA,University,NA,at least 2000 but fewer than 5000,NA,at least 20000,at least 100 but fewer than 250,NA,2021-07-01T12:49:01Z,2021-07-01,c22c03615a
j1015w3sh1xkp8j1015lhzsducj39hub,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,Collections management and acquisitions,NA,NA,NA,NA,NA,NA,Reference and user services,"Library IT, digital library services",NA,Library Carpentry,Data Carpentry,Software Carpentry,NA,NA,NA,0-6 months ago,Git,NA,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,SQL,Unix Shell,NA,NA,NA,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,NA,Daily,6,6,6,3,6,6,6,3,NA,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,NA,NA,NA,Carpentries provided a research driven community of practice for individual as well as growth of the community.,University,NA,at least 2000 but fewer than 5000,NA,at least 10000 but fewer than 20000,at least 10 but fewer than 50,NA,2021-07-01T11:56:37Z,2021-07-01,cff30b7401
ktq041b9tcpxzim5ktqhlbo846n5cas2,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,NA,NA,NA,NA,"Research and development, digital projects","Metadata and data conversion, cataloging",NA,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,archive crossover,NA,University,NA,at least 500 but fewer than 2000,NA,at least 5000 but fewer than 10000,at least 10 but fewer than 50,NA,2021-07-01T12:42:59Z,2021-07-01,945ccfcc75
